name,dimensions,walk_length,num_walks,window,p,q,auc,mrr,hit_at_1,hit_at_5,hit_at_10,positive_mean_cosine,negative_mean_cosine,score_margin,positive_score_speed_corr
d64_wl20_nw10_win5_p1_q1,64,20,10,5,1.0,1.0,0.7846474395040295,0.4351594813420891,0.35300925925925924,0.49363425925925924,0.6354166666666666,0.7240289845072699,0.5047678213024348,0.21926116320483513,-0.04466152894884493
d32_wl20_nw10_win5_p1_q1,32,20,10,5,1.0,1.0,0.7781291259430727,0.42882653334100884,0.34837962962962965,0.484375,0.6180555555555556,0.7247954477185246,0.510578676676852,0.21421677104167258,-0.042989110356545
d32_wl40_nw10_win5_p1_q1,32,40,10,5,1.0,1.0,0.7742864060892489,0.42629142559049676,0.3420138888888889,0.48900462962962965,0.6221064814814815,0.7188210849676074,0.5037845329875644,0.215036551980043,-0.042523844585724016
d16_wl20_nw10_win5_p1_q1,16,20,10,5,1.0,1.0,0.7722619947059328,0.41522829330246264,0.3350694444444444,0.4664351851851852,0.5896990740740741,0.7416645792933801,0.5294769903391501,0.21218758895423007,-0.033574868510760685
d16_wl40_nw10_win5_p1_q1,16,40,10,5,1.0,1.0,0.7640636520490398,0.41418982022767714,0.3315972222222222,0.4704861111111111,0.5966435185185185,0.7337453398051568,0.524323465131995,0.20942187467316176,-0.03360388998695001
d32_wl40_nw20_win10_p0.5_q2,32,40,20,10,0.5,2.0,0.732798454378858,0.4304763279096598,0.35648148148148145,0.47974537037037035,0.5711805555555556,0.6421311220835412,0.43481237997487404,0.20731874210866713,-0.09479885452598709
d64_wl40_nw20_win10_p1_q1,64,40,20,10,1.0,1.0,0.7263827669538752,0.439702108282166,0.36689814814814814,0.49710648148148145,0.5694444444444444,0.6314499045515226,0.423452447934046,0.2079974566174766,-0.09991699589320535
d32_wl40_nw20_win10_p1_q1,32,40,20,10,1.0,1.0,0.7250140858088991,0.43467566990536294,0.36574074074074076,0.4832175925925926,0.5665509259259259,0.6401861773898687,0.4346937282137137,0.205492449176155,-0.09758943240892462
d32_wl40_nw20_win10_p2_q0.5,32,40,20,10,2.0,0.5,0.7246983841842422,0.4305734348841399,0.3599537037037037,0.4809027777777778,0.5561342592592593,0.6415766105831912,0.43552087183739924,0.20605573874579192,-0.10441329202521257
