name,dimensions,walk_length,num_walks,window,p,q,auc,mrr,hit_at_1,hit_at_5,hit_at_10,positive_mean_cosine,negative_mean_cosine,score_margin,positive_score_ref_corr
d32_wl40_nw10_win5_p1_q1,32,40,10,5,1.0,1.0,0.7800208306541495,0.43678332785564833,0.35358796296296297,0.49189814814814814,0.6134259259259259,0.7197092659189366,0.5019732015748094,0.21773606434412718,-0.01758145568255583
d64_wl20_nw10_win5_p1_q1,64,20,10,5,1.0,1.0,0.7796013307506001,0.426773666497411,0.33796296296296297,0.4947916666666667,0.6331018518518519,0.7204189368467605,0.5039656101870652,0.2164533266596953,-0.016527704812624958
d32_wl20_nw10_win5_p1_q1,32,20,10,5,1.0,1.0,0.7718458303862311,0.42509259894796153,0.3420138888888889,0.4774305555555556,0.6151620370370371,0.7227654758370826,0.5094724921471788,0.2132929836899038,-0.018749496680355214
d16_wl40_nw10_win5_p1_q1,16,40,10,5,1.0,1.0,0.7649925250771605,0.40687455358989505,0.3269675925925926,0.4565972222222222,0.5844907407407407,0.7315807620848149,0.5227283417515961,0.20885242033321882,-0.007621460303661905
d16_wl20_nw10_win5_p1_q1,16,20,10,5,1.0,1.0,0.7571040836119685,0.4012916881958187,0.3211805555555556,0.4525462962962963,0.5688657407407407,0.7293304934800189,0.5274794044777217,0.2018510890022972,-0.012349592435253732
d32_wl40_nw20_win10_p2_q0.5,32,40,20,10,2.0,0.5,0.7400406633123285,0.4340130728873974,0.36226851851851855,0.4826388888888889,0.5711805555555556,0.6463133169260497,0.43310724799368205,0.2132060689323676,-0.09090259791670088
d32_wl40_nw20_win10_p1_q1,32,40,20,10,1.0,1.0,0.7300118218985768,0.4381816220101869,0.36516203703703703,0.4930555555555556,0.5688657407407407,0.6440615755725756,0.43457802841661897,0.20948354715595663,-0.07902617614606154
d64_wl40_nw20_win10_p1_q1,64,40,20,10,1.0,1.0,0.7298267505787037,0.44243467175980566,0.36921296296296297,0.5005787037037037,0.5682870370370371,0.6331857419745238,0.4238247366538228,0.209361005320701,-0.08988111013117767
d32_wl40_nw20_win10_p0.5_q2,32,40,20,10,0.5,2.0,0.7253523729531036,0.4310151671137336,0.3605324074074074,0.4774305555555556,0.5561342592592593,0.6378081071350068,0.4335150845493492,0.20429302258565762,-0.08491593730767208
