name,dimensions,walk_length,num_walks,window,p,q,auc,mrr,hit_at_1,hit_at_5,hit_at_10,positive_mean_cosine,negative_mean_cosine,score_margin,positive_score_time_corr
d64_wl20_nw10_win5_p1_q1,64,20,10,5,1.0,1.0,0.7834016458226166,0.42795816270774645,0.33912037037037035,0.4947916666666667,0.6278935185185185,0.72332760538147,0.5073121852264739,0.21601542015499609,0.009875377439789225
d32_wl20_nw10_win5_p1_q1,32,20,10,5,1.0,1.0,0.7780972570516118,0.4191017255815286,0.33564814814814814,0.4826388888888889,0.6226851851851852,0.7262766957714187,0.5133373447299797,0.21293935104143902,0.011678843430762318
d32_wl40_nw10_win5_p1_q1,32,40,10,5,1.0,1.0,0.7656892200360083,0.41998477820480506,0.33391203703703703,0.47974537037037035,0.6018518518518519,0.7155726427531421,0.5065566751492184,0.2090159676039237,0.0020489092023982776
d16_wl20_nw10_win5_p1_q1,16,20,10,5,1.0,1.0,0.7593136533886317,0.3988309930453602,0.31828703703703703,0.4513888888888889,0.5671296296296297,0.7342298705070452,0.5319812445620429,0.20224862594500237,0.007058211899935158
d16_wl40_nw10_win5_p1_q1,16,40,10,5,1.0,1.0,0.7545718530306927,0.40310531343627837,0.32349537037037035,0.4565972222222222,0.5648148148148148,0.7285099060110817,0.5268099597774778,0.20169994623360388,-0.005855021144943631
d32_wl40_nw20_win10_p1_q1,32,40,20,10,1.0,1.0,0.73377570676869,0.4248499009571429,0.35127314814814814,0.4826388888888889,0.5659722222222222,0.6436027442191348,0.4362433736485481,0.20735937057058668,-0.0021860384627784145
d64_wl40_nw20_win10_p1_q1,64,40,20,10,1.0,1.0,0.7301646559392146,0.43621786476431723,0.3611111111111111,0.4988425925925926,0.5706018518518519,0.6327325498870643,0.4246892550676259,0.2080432948194384,0.0006885822361156189
d32_wl40_nw20_win10_p2_q0.5,32,40,20,10,2.0,0.5,0.7287631949802812,0.43508817845760683,0.36400462962962965,0.4895833333333333,0.5677083333333334,0.6432219078795041,0.43586565215772244,0.20735625572178162,-0.0030461528860044607
d32_wl40_nw20_win10_p0.5_q2,32,40,20,10,0.5,2.0,0.7276605902777777,0.426799053494322,0.35358796296296297,0.4832175925925926,0.5659722222222222,0.6367291883022214,0.4347277005867821,0.20200148771543924,-0.009429765543994398
